City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Ostrovnoy,RU,68.0531,39.5131,52.09,84,5,18.43,clear sky
294,Chandausi,IN,28.45,78.7667,81.21,70,4,7.45,clear sky
295,Ossora,RU,59.2353,163.0719,61.34,78,17,7.9,few clouds
296,Catamarca,AR,-28.4696,-65.7852,62.58,43,100,7.34,overcast clouds
297,Kutum,SD,14.2,24.6667,75.52,65,93,7.2,overcast clouds
298,Anadyr,RU,64.75,177.4833,59.5,77,75,4.47,broken clouds
299,Ouadda,CF,8.0777,22.4007,67.51,98,100,3.44,light rain
300,Ambulu,ID,-8.345,113.6058,74.66,92,81,2.64,broken clouds
301,Channel-Port Aux Basques,CA,47.5702,-59.1367,61.68,90,54,12.84,broken clouds
302,Hovd,MN,48.0056,91.6419,62.2,52,2,2.51,clear sky
303,Shimoda,JP,34.6667,138.95,81.1,87,100,12.73,overcast clouds
304,Mehamn,NO,71.0357,27.8492,51.71,93,100,23.02,moderate rain
305,Kangaatsiaq,GL,68.3065,-53.4641,38.3,86,29,3.71,scattered clouds
306,Ust-Koksa,RU,50.2696,85.6108,52.2,87,30,1.39,scattered clouds
307,Turayf,SA,31.6725,38.6637,80.85,47,0,9.22,clear sky
308,Barabinsk,RU,55.3571,78.357,60.21,82,65,8.88,broken clouds
309,Swan Hill,AU,-35.3378,143.5544,49.35,71,86,9.78,overcast clouds
310,Kuala Selangor,MY,3.35,101.25,80.8,83,72,4.29,broken clouds
311,Tucuma,BR,-0.1833,-50.05,77.81,84,58,7.25,broken clouds
312,Williamsburg,US,37.2707,-76.7075,81.91,87,75,0.0,broken clouds
313,Doha,QA,25.2867,51.5333,94.98,73,0,2.3,clear sky
314,Saldanha,ZA,-33.0117,17.9442,55.45,87,100,11.9,overcast clouds
315,El Carmen De Bolivar,CO,9.7174,-75.1202,79.34,90,83,6.67,broken clouds
316,Illela,NG,13.7292,5.2975,75.4,74,97,10.27,overcast clouds
317,Owase,JP,34.0667,136.2,79.99,91,100,4.52,light rain
318,Inirida,CO,3.8653,-67.9239,75.11,94,95,1.34,overcast clouds
319,Rio Grande,BR,-32.035,-52.0986,55.94,85,3,9.06,clear sky
320,Danjiangkou,CN,32.5428,111.5086,83.21,72,8,3.51,clear sky
321,Okhotsk,RU,59.3833,143.3,58.75,91,100,3.24,overcast clouds
322,Kanniyakumari,IN,8.0833,77.5667,79.02,78,93,18.39,overcast clouds
323,Cabo Rojo,PR,18.0866,-67.1457,84.72,77,96,6.49,overcast clouds
324,Caraquet,CA,47.7941,-64.9386,68.68,78,100,7.83,overcast clouds
325,Bichura,RU,50.5881,107.6022,61.57,76,82,1.39,broken clouds
326,Lompoc,US,34.6391,-120.4579,76.84,69,0,14.97,clear sky
327,Villazon,BO,-22.0866,-65.5942,50.41,6,0,7.76,clear sky
328,Aras,ES,42.5617,-2.356,72.01,73,0,2.3,clear sky
329,Izumo,JP,35.3667,132.7667,82.29,83,75,2.3,broken clouds
330,Aliwal North,ZA,-30.6937,26.7114,54.54,29,64,8.41,broken clouds
331,Palladam,IN,10.9833,77.3,73.49,78,73,17.43,broken clouds
332,Diamantino,BR,-14.4086,-56.4461,68.52,33,0,4.94,clear sky
333,Sandviken,SE,60.6167,16.7667,64.56,73,1,5.21,clear sky
334,Majenang,ID,-7.2975,108.7642,73.49,99,67,1.66,broken clouds
335,Campeche,MX,19.0,-90.5,91.33,39,63,6.4,broken clouds
336,Quatre Cocos,MU,-20.2078,57.7625,69.1,76,89,15.21,light rain
337,Simao,CN,22.7886,100.9748,66.9,98,100,3.4,overcast clouds
338,Navahrudak,BY,53.6,25.8333,57.69,89,1,5.95,clear sky
339,Komsomolskiy,UZ,40.4272,71.7189,74.12,43,16,6.91,few clouds
340,Chara,RU,56.9064,118.2631,57.97,72,86,0.63,overcast clouds
341,Miyako,JP,39.6367,141.9525,75.81,93,100,2.26,light rain
342,Kismayo,SO,-0.3582,42.5454,74.53,81,35,16.06,light rain
343,Sobolevo,RU,54.4299,31.8996,56.82,74,0,6.98,clear sky
